data_situacao_cadastral,motivo,uf,quantidade
1984-01,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,PR,1
1984-01,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,RS,3
1984-02,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,PR,1
1984-02,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,RS,2
1984-02,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,SP,2
1984-03,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,SP,1
1984-04,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,MG,1
1984-04,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,MS,1
1984-04,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,SP,1
1984-05,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,RS,1
1984-05,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,SP,1
1984-06,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,AM,1
1984-06,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,MS,1
1984-06,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,RS,2
1984-06,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,SC,2
1984-06,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,SP,2
1984-07,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,MG,2
1984-07,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,SP,1
1984-08,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,DF,1
1984-08,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,MG,1
1984-08,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,SP,5
1984-09,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,MG,1
1984-09,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,PR,1
1984-10,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,MG,2
1984-10,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,PE,1
1984-10,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,RJ,1
1984-10,NAO INICIO DE ATIVIDADE,MG,1
1984-11,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,RS,1
1984-11,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,SP,2
1984-12,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,GO,1
1984-12,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,MG,1
1984-12,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,RR,1
1984-12,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,RS,2
1984-12,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,SP,1
1984-12,INCORPORACAO,SP,1
1984-12,NAO INICIO DE ATIVIDADE,ES,1
1985-01,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,RJ,1
1985-01,INCORPORACAO,ES,1
1985-01,NAO INICIO DE ATIVIDADE,RN,1
1985-02,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,RJ,1
1985-02,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,RS,2
1985-02,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,SP,2
1985-03,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,MG,1
1985-03,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,SC,1
1985-04,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,BA,1
1985-04,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,MG,2
1985-04,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,PA,1
1985-04,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,RS,2
1985-04,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,SC,2
1985-04,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,SP,3
1985-05,EXTINCAO - TRATAMENTO DIFERENCIADO DADO AS ME E EPP (LEI COMPLEMENTAR NUMERO 123/2006),SP,1
1985-05,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,CE,1
1985-05,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,MG,2
1985-05,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,RJ,2
1985-05,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,SP,1
1985-05,NAO INICIO DE ATIVIDADE,MT,1
1985-06,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,ES,1
1985-06,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,MG,1
1985-06,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,PR,2
1985-06,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,RS,2
1985-06,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,SP,1
1985-07,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,MG,1
1985-07,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,PR,1
1985-07,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,RS,1
1985-08,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,PE,1
1985-08,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,PR,1
1985-08,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,RJ,2
1985-08,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,SC,1
1985-08,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,SP,1
1985-08,NAO INICIO DE ATIVIDADE,RS,1
1985-09,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,AC,1
1985-09,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,DF,1
1985-09,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,MG,2
1985-09,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,PI,1
1985-09,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,RS,2
1985-09,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,SP,1
1985-09,NAO INICIO DE ATIVIDADE,SP,2
1985-10,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,DF,1
1985-10,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,PE,1
1985-10,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,PR,2
1985-11,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,AL,1
1985-11,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,PR,1
1985-12,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,MG,1
1985-12,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,PR,1
1985-12,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,RS,1
1986-02,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,RJ,2
1986-02,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,SC,1
1986-03,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,PR,1
1986-03,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,RS,1
1986-03,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,SC,1
1986-04,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,MG,1
1986-04,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,RS,2
1986-05,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,MG,1
1986-05,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,SP,1
1986-06,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,ES,1
1986-06,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,MG,1
1986-06,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,SP,2
1986-07,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,MG,3
1986-07,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,PR,1
1986-07,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,RS,1
1986-07,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,SC,1
1986-07,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,SP,2
1986-08,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,MG,2
1986-08,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,RS,2
1986-08,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,SC,2
1986-08,NAO INICIO DE ATIVIDADE,RS,1
1986-09,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,MG,1
1986-09,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,RS,1
1986-09,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,SP,3
1986-10,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,PR,1
1986-10,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,SP,2
1986-11,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,PR,1
1986-11,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,RS,1
1986-11,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,SP,3
1986-11,NAO INICIO DE ATIVIDADE,MT,1
1986-11,NAO INICIO DE ATIVIDADE,SP,1
1986-12,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,MG,1
1986-12,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,PR,3
1986-12,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,RJ,1
1986-12,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,RS,2
1986-12,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,SP,3
1987-01,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,MG,2
1987-01,NAO INICIO DE ATIVIDADE,SP,1
1987-02,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,BA,1
1987-02,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,MS,1
1987-02,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,PI,1
1987-02,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,RJ,1
1987-03,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,MG,2
1987-03,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,SP,1
1987-04,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,MG,1
1987-04,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,RS,1
1987-04,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,SP,2
1987-05,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,AM,1
1987-05,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,GO,1
1987-05,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,MG,1
1987-05,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,PE,1
1987-05,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,RJ,1
1987-05,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,SP,2
1987-06,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,PR,1
1987-06,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,SP,2
1987-07,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,PR,1
1987-07,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,RJ,1
1987-07,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,RS,1
1987-07,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,SP,4
1987-07,NAO INICIO DE ATIVIDADE,MG,2
1987-08,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,MG,1
1987-08,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,PE,1
1987-08,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,RJ,2
1987-08,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,RS,2
1987-08,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,SP,1
1987-09,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,MG,1
1987-09,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,RN,1
1987-09,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,RS,2
1987-09,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,SP,1
1987-09,NAO INICIO DE ATIVIDADE,SP,1
1987-10,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,CE,1
1987-10,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,PR,1
1987-10,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,SP,1
1987-11,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,MG,1
1987-11,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,PR,2
1987-11,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,RS,1
1987-11,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,SP,1
1987-12,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,MG,2
1987-12,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,PR,3
1987-12,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,RJ,1
1987-12,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,SC,2
1987-12,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,SP,2
1988-01,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,MG,3
1988-01,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,MS,2
1988-01,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,RO,1
1988-01,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,SC,1
1988-01,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,SP,1
1988-02,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,ES,1
1988-02,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,MG,1
1988-02,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,PR,3
1988-02,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,RS,1
1988-02,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,SP,4
1988-03,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,MG,4
1988-03,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,PR,2
1988-03,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,RS,1
1988-03,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,SC,1
1988-03,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,SP,3
1988-04,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,BA,1
1988-04,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,CE,2
1988-04,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,MG,2
1988-04,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,RS,4
1988-04,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,SP,5
1988-04,NAO INICIO DE ATIVIDADE,PE,1
1988-05,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,CE,1
1988-05,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,MG,2
1988-05,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,PE,1
1988-05,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,PR,2
1988-05,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,RS,1
1988-05,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,SP,10
1988-06,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,AL,1
1988-06,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,MG,2
1988-06,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,PA,1
1988-06,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,PR,1
1988-06,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,RS,2
1988-06,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,SC,1
1988-06,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,SP,5
1988-07,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,ES,1
1988-07,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,MG,2
1988-07,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,PE,1
1988-07,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,PR,1
1988-07,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,RS,2
1988-07,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,SP,10
1988-07,NAO INICIO DE ATIVIDADE,AL,1
1988-07,NAO INICIO DE ATIVIDADE,SP,1
1988-08,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,MG,5
1988-08,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,PR,4
1988-08,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,RJ,1
1988-08,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,RS,3
1988-08,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,SC,1
1988-08,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,SP,2
1988-09,EXTINCAO POR ENCERRAMENTO LIQUIDACAO VOLUNTARIA,MG,2
